Label,Type,Tags,Description,End Date,Member Link to List,Publication Date,Size,Start Date,Website,Wikipedia Article
CEF Telecom,Research Project,,"The Connecting Europe Facility (CEF) in Telecom is a key EU instrument to facilitate cross-border interaction between public administrations, businesses and citizens, by deploying digital service infrastructures (DSIs) and broadband networks. Supported projects will contribute to the creation of a European ecosystem of interoperable and interconnected digital services that sustain the Digital Single Market.

A €1.04 billion budget is earmarked for trans-European digital services for 2014-2020.

INEA is responsible for implementing an estimated €300 million of the CEF Telecom budget in the form of grants during the same period.

List of all the funded projects part 1
https://ec.europa.eu/inea/sites/inea/files/cef-tc-2015-2.pdf

list of all the funded projects 2015 Part 2
https://ec.europa.eu/inea/sites/inea/files/2015-1-selected_proposals.pdf",,,,,,,
Turkish Government,Government,,,,,,,,,
ISSE Information Security Solutions Europe,Event,,,,,,,,http://www.isse.eu.com,
European Commission,Supra-National Government,,,,,,,,,
Health Relationship Trust Profile for OpenID Connect 1.0,Specification,,"This specification profiles the OpenID Connect protocol to increase baseline security, provide greater interoperability, and structure deployments in a manner specifically applicable to (but not limited to) the healthcare domain.",,,,,,http://openid.bitbucket.org/HEART/openid-heart-oidc.html,
e-CODEX,Project Pilot/Proof of Concept,Europe|over,"The goal of the e-CODEX project is to:

“Improve the cross-border access of citizens and businesses to legal means in Europe as well as to improve the interoperability between legal authorities within the EU.”

What exactly does that mean? e-CODEX is a functionality which provides an easier (digital) way to exchange legal information between EU-countries. No more bureaucratic paperwork no matter the differences between the EU countries.

The aim of the project is:
* Contributing to the implementation of the EU legal framework and the e-Justice action plan, in due respect of subsidiarity
* Achieving interoperability between existing national judicial systems
* Enabling all Member States to work together towards a more effective judicial system in Europe
* Improving the effectiveness and efficiency of the processing of the increasing number of cross-border proceedings, especially in civil, criminal and commercial matters
* Contributing to a safer environment for citizens inside the EU
* Modernizing the judicial systems in Europe
* Increasing collaboration and exchange between judicial systems of the Member 

In a nutshell:
* Easy and secure access to legal information and procedures in other EU Member States for businesses and citizens
* Greater cross-border effectiveness of legal processes through common standards and greater interoperability of information systems
* Improved efficiency of cross-border judicial processes through standards and solutions that ease and facilitate the cross-border case-handling activities

In a few words: Enabling access to justice systems across Europe.

e-CODEX at a glance

Project	e-Justice Communication via Online Data EXchange
Participants	Austria, Belgium, Croatia, Czech Republic, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Jersey, Latvia, Lithuania, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Turkey, United Kingdom, CCBE and CNUE
Duration	66 months (December 2010 - May 2016)
Costs	
Total cost: €24m (EU contribution: €12m)

Programme	ICT Policy Support Programme under the Competitiveness and Innovation Framework Programme (CIP)",,,,,,http://www.e-codex.eu/home.html,
Thomas Hardjono,Person,,"Thomas acts as a liaison with key external stakeholders to increase awareness of, and engagement in, the Kerberos Consortium. He works closely with all our sponsors, to Thomas Hardjonoadvance our shared goal of establishing Kerberos as a universal authentication platform.

Previous to this role he was Principal Scientist within the CTO Office at Wave Systems, where he worked on bringing trusted computing technologies, such as the TPM and FDE drives, into mainstream computing systems. Prior to this he was CTO at SignaCert, which is a startup company also focusing on trusted computing products.

Throughout his 17 year career in the computer and IP network security industry Thomas has primarily been engaged in advanced technologies and engineering. This includes 5 years as Principal Scientist and Director within the CTO Office of VeriSign, and several years in Bay Networks (Nortel) and NTT/ATR in Japan.

His area of interest includes network security, cryptography, multicast security, PKI, wireless security, digital rights management and trusted computing. Over the years Thomas has published over 50 technical papers in journals and conferences, and 3 books on security. Thomas holds 19 patents covering various security and networking technologies.

Thomas is active in a number of technical communities and standards organizations, including the IETF, IEEE, TCG, Oasis and Kantara. In the IETF Thomas was chair of the Multicast Security (MSEC) working group and the Group Security Research Group. He is an author of RFC 3740 and RFC 3547. Thomas was also co-chair of the TCG Infrastructure Working Group. He is author and editor of a number of core TCG specifications focusing on thesecurity infrastructure supporting the TPM hardware. Currently he is co-chair of the Security Services TC (SSTC) in Oasis (home of the SAML2.0 standard), and active contributor to the UMA WG in the Kantara initiative. The UMA WG is developing interoperability specifications for a user-centric and consent-based resource sharing in the Internet based on the OAuth2.0 authorization paradigm. Thomas is the MIT representative to the NSTIC IDESG.

He is an active speaker at various security forums, panels and events.",,,,,,http://www.kerberos.org/people/hardjono.html,
SWITCH,NREN,,,,,,,,,
T2TRG Thing-to-Thing Research Group,Research Project,,"The Thing-to-Thing Research Group (T2TRG) will investigate open research issues in turning a true “Internet of Things” into reality, an Internet where low-resource nodes (“things”, “constrained nodes”) can communicate among themselves and with the wider Internet, in order to partake in permissionless innovation. The focus of the T2TRG are on issues that touch opportunities for standardization in the IETF, i.e., it will start at the adaptation layer connecting devices to IP, and end at the application layer with architectures and APIs for communicating and making data and management functions (including security functions) available.

### Motivation
A first wave of IoT standards has been completed by the IETF. Consortia are now forming to build infrastructure and industry agreements around those. This generates new requirements for research, based on actual usage of the standards now available.

In parallel, W3C has set up an IG (Interest Group) on the Web of Things (WoT); this is operating on a similar timeline as an RG does in the IRTF. A parallel activity associated with the IETF/IRTF can help ensure the common work does not stop at the traditional boundaries of the W3C, but considers networking issues as well. IETF WGs are also active on these topics, but an IRTF RG can provide a more long-term perspective to the collaboration.

### Areas of Interest
A number of areas of interest have been identified:
* Understanding the motivation for single-purpose silos and gateways; facilitating a move towards small pieces loosely joined (hence “thing-to-thing”); enabling scaling the number of applications in a single network
* Deployment considerations; scaling considerations; cost of ownership
* Management and operation of “things”
* Lifecycle aspects (including, but not limited to, security considerations)
* Cooperation with W3C, e.g., on data models, formats, and semantics

More exploratory areas of interest include:
* Operating “things” that have multiple masters/stakeholders (including understanding role definitions of devices, owners, operators, etc.)
* Exploring the duality of state- and event-based approaches
* Aspects of distribution (cf. “fog computing”); reliability and scalability considerations
* Containerization and other forms of mobile code",,,,,,https://irtf.org/t2trg,
PCH - Packet Clearing House,Organization / Trade Association,,"The task that PCH was first created to address is the building and support of Internet Exchange Points. IXPs are the places where Internet Service Providers interconnect their networks, to exchange traffic between their customers and create Internet bandwidth. PCH assists in the construction of IXPs, and provides equipment, training, and ongoing support to IXPs and their operators. Over the past twenty years, PCH has helped build more than 150 IXPs, and has provided assistance of some sort to more than half of all the world’s IXPs. PCH also maintains the global directory of IXPs, and publishes statistics about their use and growth.

PCH conducts more than 100 workshops each year on Internet regulatory theory, governance, and economics for audiences ranging from Internet service provider engineers to communications, economic development, and defense ministers. PCH also works in conjunction with and in support of other Internet governance organizations and fora like the global network operators groups, the Internet Governance Forum, the OECD, ICANN, NetMundial, the Regional Internet Registries, and many others. PCH also maintains a global calendar of Internet operations and governance meetings.

PCH has been working since 1995 to make the Domain Name System faster, more scalable, and more resilient against attack. PCH pioneered the use of DNS anycast to distribute DNS load among more servers in more places, anycasting top-level domain nameservers since 1997, and root nameservers since 2001. PCH is the largest authoritative DNS service network in the world, hosting three roots and 280 top-level domains on thousands of servers in more than 100 locations around the world. PCH is also the operator of the only FIPS 140-2 Level 4 DNSSEC signing platform other than the root itself.

PCH is the secretariat and operator of the INOC-DBA critical infrastructure protection hotline communications system, which ties together more than two thousand network operations centers and CERTs in a resilient communications mesh that lets network operators mitigate cybersecurity threats and online crime. PCH also operates a CERT of global scope, and provides training, resources, and assistance to CERTs and governments and communities that wish to form new CERTs. PCH also provides training and resources for national cyber-defense and critical Internet infrastructure protection.",,,,,,,
Nomura Research Institute,Company,,,,,,,,http://www.nri.com/global/,
The Federal Computing Centre of Austria – Bundesrechenzentrum (BRZ),Company,,"The Federal Computing Centre of Austria – Bundesrechenzentrum (BRZ) is the market-leading e-government partner of the federal administration in Austria. Primarily, the BRZ is in charge of approximately 1,200 employees, 3,000 servers and has equipped 1,200 locations throughout Austria with infrastructure; this service has successfully deployed more than 300 IT-processes. Overall, the BRZ supports more than 400 e-government applications that are used by five million users. The BRZ runs one of Austria's largest computing centres, its own parallel computing centre and ensures one of the most reliable infrastructures available. The Federal Computing Centre of Austria is also an internationally renowned cooperation partner and has been part of projects such as the Euritas (European Association of Public IT service provider).",,,,,,https://en.brz.gv.at,https://en.wikipedia.org/wiki/Austrian_Federal_Computing_Centre
comsign,Company,,"ComSign is the leading Israeli company authorized to issue legally binding digital signature approved by the law and by the Justice Ministry

ComSign's objective is to stop the foot-dragging bureaucracy and sending the public to government, banking and other institutions and entities in order to have documents signed, and in fact to grant every home in Israel a computerized signature on documents in their computer. This digital signature is, of course, equal in acceptability to (and even better than) that of the person's handwritten signature and is legally submissible as if the document was hand signed on paper.",,,,,,https://www.comsign.co.uk,
IEEE Smart Cities,Working Group,,,,,,,,http://smartcities.ieee.org,
IETF,Organization / Trade Association,,,,,,,,,
New Zealand,Government,,,,,,,,,
Domenico Catalano,Person,,,,,,,,,
Identification cards – Optical memory cards (11693-5),Specification,,,,,,,,,
"HEART profile for FHIR UMA resource set types, scopes, and claims-gathering flows",Specification,,,,,,,,,
R. Hedberg,Person,,,,,,,,,
Electronic Identity Credential Trust Elevation Methods (Trust Elevation) TC,Working Group,,"The OASIS Trust Elevation TC works to define a set of standardized protocols that service providers may use to elevate the trust in an electronic identity credential presented to them for authentication. The Trust Elevation TC is intended to respond to suggestions from the public sector, including the U.S. National Strategy for Trusted Identities in Cyberspace (NSTIC). The Trust Elevation TC promotes interoperability among multiple identity providers--and among multiple identity federations and frameworks--by facilitating clear communication about common and comparable operations to present, evaluate and apply identity [data/assertions] to sets of declared authorization levels.",,,,,,https://www.oasis-open.org/committees/tc_home.php?wg_abbrev=trust-el,
LSEC – Leaders In Security,Organization / Trade Association,,"LSEC – Leaders In Security is a leading European non-profit ICT Security Association bringing together thought leadership from over 230 leading ICT Security solutions and services providers and more than 7000 individual members. LSEC has been active since 2002 and actively participates in industrial innovative projects bringing together advanced and state of the art technology, working with researchers going beyond the current state of the art and validating these approaches with operational ICT security teams throughout Europe.
 
LSEC is a unique ict-security cluster focusing on overall trust relations both human, machine to machine and throughout the process and communication flows, covering identity, cyber security, security & risk management, cloud, mobile and industrial automation amongst other, with activities in Belgium, the Netherlands, UK, Germany and France. www.lsec.eu",,,,,,,
Non-paper on the IT Governance of CEF Building Block Digital Service Infrastructures (DSIs),Publication,,"This non-paper paper is the result of a fruitful collaboration between the Commission and the Connecting Europe Facility (CEF) Expert Group. The text of the non-paper reflects the comments received at the CEF Telecom Expert Group Meeting of 24 October 2014 on the draft proposal elaborated by DG CNECT and DIGIT with the support of the various Commission services involved in the CEF.
This non-paper is organised into two chapters:

*  The first chapter: 'Introduction', clarifies the purpose (Section 1.1), application (Section 1.2) and scope (Section 1.3) of the proposed IT Governance Model;
* · The second chapter: 'Proposed IT Governance Model', describes what an IT Governance Model is (Section 2.1) and its objectives (Section 2.2). Two sections constitute the core of the non- paper, the principles of governance that underpin the IT Governance Model (Section 2.3) and the model itself (Section 2.4). Finally, this chapter looks at the governance bodies that are proposed to embody the model (Section 2.5) and how they interact with each other (Section 2.6).

The proposed IT Governance Model will be implemented once it is agreed with the CEF Expert Group and the CEF Coordination Committee.

In the first months of CEF, EU Member States and associated countries1 (both hereafter referred to under the term 'Member States') raised concerns2 about the IT governance of CEF Digital Service Infrastructures (DSIs) and, in particular, about the governance of the CEF building block DSIs3 as these are going to be reused by several sector-specific DSIs and by projects in policy domains not directly funded by CEF. The Commission shares the concerns of Member States and agrees that the roll-out and take-up of the CEF building block DSIs in different policy domains cannot be based on 'self-organisation' where every DSI works independently of one another. This is why the Commission is putting forward, by means of this draft non-paper, a proposal for an 'integrated' IT Governance Model. The proposed model has been designed according to guiding principles stemming from Regulation 1316/2013 establishing the Connecting Europe Facility (hereafter referred to as 'the CEF Regulation') and Regulation 283/2014 guidelines for trans-European networks in the area of telecommunications infrastructure (hereafter referred to as 'the Guidelines'). The proposed model was also influenced by the work currently being developed in the Electronic Simple European Networked Services (e-SENS) Large Scale Pilot. Once agreed and implemented, the IT Governance Model will promote coherence across CEF building block DSIs and trust between them and the sector-specific DSIs while promoting efficiency and avoiding the duplication of structures. The DSIs are expected to contribute to a fully functioning Digital Single Market for online and communications services in Europe, a priority of the new Commission4 and of the new legislative period for the European Union.",,,,,,https://joinup.ec.europa.eu/sites/default/files/28012015%20CEF%20Telecom%20EG%20Non-Paper%20on%20IT%20Governance%20of%20CEF%20BB%20DSIs%20-%20REVISED%20-%20v5.01.pdf,
Understanding your Online Identity Protecting Your Privacy,Publication,,,,,,,,,
ipen Internet Privacy Engineering Network,Working Group,,"The purpose of IPEN is to bring together developers and data protection experts with a technical background from different areas in order to launch and support projects that build privacy into everyday tools and develop new tools which can effectively protect and enhance our privacy.

The IPEN initiative was founded in 2014. It supports the creation of engineer groups working on (re)-usable building blocks, design patterns and other tools for selected Internet use cases where privacy is at stake.
IPEN invites participants from different areas such as data protection authorities, academia, open source and business development, and other individuals who are committed to finding engineering solutions to privacy challenges. The objective of the work should be to integrate data protection and privacy into all phases of the development process, from the requirements phase to production, as it is most appropriate for the development model and the application environment.

It supports networking between engineer groups and existing initiatives for engineering privacy into the Internet. This network facilitates exchange in order to coordinate work and avoid duplication, in addition to discussing which privacy oriented use cases should be addressed with priority.

IPEN is building a repository of relevant resources, making its findings and knowledge base accessible to all participants, developers and privacy experts.

A core group takes care of collection and distribution of information, liaises with other relevant initiatives, facilitates the dialogue on engineering solutions, and organises online and offline events.",,,,,,https://secure.edps.europa.eu/EDPSWEB/edps/EDPS/IPEN,
Study Group 17,Working Group,,"Work to build confidence and security in the use of information and communication technologies (ICTs) continues to intensify in a bid to facilitate more secure network infrastructure, services and applications. Over seventy standards (ITU-T Recommendations) focusing on security have been published.

ITU-T Study Group 17 (SG17) coordinates security-related work across all ITU-T Study Groups. Often working in cooperation with other standards development organizations (SDOs) and various ICT industry consortia, SG17 deals with a broad range of standardization issues.

To give a few examples, SG17 is currently working on cybersecurity; security management; security architectures and frameworks; countering spam; identity management; the protection of personally identifiable information; and the security of applications and services for the Internet of Things (IoT), smart grid, smartphones, web services, social networks, cloud computing, mobile financial systems, IPTV and telebiometrics.

One key reference for security standards in use today is Recommendation ITU-T X.509 for electronic authentication over public networks. ITU-T X.509, a cornerstone in designing applications relating to public key infrastructure (PKI), is used in a wide range of applications; from securing the connection between a browser and a server on the web, to providing digital signatures that enable e-commerce transactions to be conducted with the same confidence as in a traditional system. Without wide acceptance of the standard, the rise of e-business would have been impossible.

Cybersecurity remains high on SG17’s agenda. Additionally, SG17 is coordinating standardization work covering e-health, open identity trust framework, Near Field Communication (NFC) security, and Child Online Protection.",,,,,,http://www.itu.int/en/ITU-T/studygroups/2013-2016/17/Pages/default.aspx,
U.S. Department of Health and Human Services,Part of a Government,,,,,,,,,
Dale Olds,Person,,"Dale led development of the identity system for VMware’s CloudFoundry PaaS and led the identity team for VMWare Workspace. As a Distinguished Engineer at Novell, Dale architected the Novell Cloud Security Service,and led the Bandit and Higgins open source identity system projects. Olds was the lead architect and implementer of Novell Directory Services (NDS) and eDirectory.

He is listed as an inventor on numerous patents and has received Novell’s Edison, President’s, and Inventor Hall of Fame awards. Other industry experience focused on open standards, Linux, and Internet content delivery services. Olds has a BS in computer science from the University of Utah.",,,,,,,
Token Bound Authentication,Specification,,This specification enables OpenID Connect implementations to apply Token Binding to the OpenID Connect ID Token. This cryptographically binds the ID Token to the TLS connections over which the authentication occurred. This use of Token Binding protects the authentication flow from man-in-the-middle and token export and replay attacks.,,,,,,http://openid.net/specs/openid-connect-token-bound-authentication-1_0.html,
CEN/ETSI (European Committee for Standardization/European Telecommunications Standards Institute),Organization / Trade Association,,,,,,,,,
Paul Simmonds,Person,,"Paul Simmonds was a co-founder and board member of the Jericho Forum and co-editor of Cloud Security Alliance's ""Cloud Security Guidance version 3"". He was the editor of Jericho Forums original (de-perimeterisation) ""Commandments"" as well as their ""Identity Commandments"".
He was formerly the global CISO of AstraZeneca, and prior to that; the global CISO of ICI, Head of Information Security (high security European web hosting company and a Global Information Security Manager with Motorola.
He's been awarded ""Chief Security Officer of the year"" as well as ""Best Security Implementation"" at the SC Magazine Awards and is twice listed as one of Network World's ""most powerful people in networking"".
In addition to the Global Identity Foundation, Paul sits on the advisory board of a number of leading-edge computing companies, as well as the Executive Advisory Board of ISSA UK.",,,,,,,
Austrian Government,Government,,,,,,,,,
GEANT (GEANT),Organization / Trade Association,,,,,,,,,
Deutsche Telekom,Company,,,,,,,,,
Canadian Submission on Behalf of CISWG,Publication,,"The consent receipt is a cross cutting, horizontal specification that is quite similar in many ways to, the concept of a receipt for purchase of goods and services.

At this time the Consent Receipt is the only international standard canditate for accounting for the use and control of personal information via consent. In fact, there is no practice of providing a record of consent, yet every OECD FIPPs based jurisdiction has regulation based on an openness principle. PIPEDA Principle 8, is Openness, as a result this paper is put forward with the claim that currently personal data and consent is not open enough to include people.",,,,,,https://kantarainitiative.org/confluence/download/attachments/76447870/CISWGCanadaSub.v.3.Final.pdf?version=2&modificationDate=1462979278000&api=v2,
Understanding your Online Identity Learning to Protect your Identity,Publication,,,,,,,,,
Information Security Management Systems WG1,Working Group,,"The scope of WG 1 covers the development of ISMS (Information Security Management System) standards and guidelines (see SC 27 N5114). This includes:

1. Development and maintenance of the ISO/IEC 27000 ISMS standards family
2. Identification of requirements for future ISMS standards and guidelines
3.On-going maintenance of WG1 standing document SD WG 1/1 (WG 1 Roadmap)
4. Collaboration with other Working Groups in SC 27, in particular with WG 4 on standards addressing the implementation of control objectives and controls as defined in ISO/IEC 27001.

Liaison and collaboration with those organizations and committees dealing with specific requirements and guidelines for ISMS, for example:

ITU-T Telecoms
ISO/TC 215 Healthcare
ISO/TC 68 Banking
ISO/TC 204 Intelligent transport systems
ISO/TC 223 Civil defense
ISSEA
Aerospace
Automotive industry
Standards bodies, such as IETF, IEEE
International institutions, e.g. OECD, APEC, EU
IAF and CASCO, and other relevant groups regarding the development of accreditation and certification standards and guidelines",,,,,,,
CFRG Crypto Forum Research Group,Research Project,,"The Crypto Forum Research Group (CFRG) is a general forum for discussing and reviewing uses of cryptographic mechanisms, both for network security in general and for the IETF in particular.

The CFRG serves as a bridge between theory and practice, bringing new cryptographic techniques to the Internet community and promoting an understanding of the use and applicability of these mechanisms via Informational RFCs (in the tradition of, e.g., RFC 1321 (MD5) and RFC 2104 (HMAC). Our goal is to provide a forum for discussing and analyzing general cryptographic aspects of security protocols, and to offer guidance on the use of emerging mechanisms and new uses of existing mechanisms. IETF working groups developing protocols that include cryptographic elements are welcome to bring questions concerning the protocols to the CFRG for advice.",,,,,,https://irtf.org/cfrg,
PwC,Company,,"PwC (formerly PriceWaterhouseCoopers) is a global leader in advice and assurance. The strength and reach of the PwC network enables us to offer globally consistent services and work for a broad range of clients, from public sector clients and large multinationals to small locally-based organisations. Drawing on the talent and capabilities of more than 180,000 people in 158 counties, PwC provides a full range of industry-focused assurance, tax and business consulting services. With a well-established presence and network of local offices in all 28 EU Member States, EEA countries and EU candidate and potential candidate countries, we are able to provide our clients with multi-lingual, multi-national service teams with an excellent knowledge of local markets and specificities, ensuring both the consistency and quality of the services we deliver in all the countries.",,,,,,http://www.pwc.com,
Lawtrust,Company,,"https://www.lawtrust.co.zaThe people at LAWtrust are passionate about information security, which addresses business’ need to create trust between stakeholders. LAWtrust understands that trust in business dealings is established through accountability and privacy, which in turn require the establishment of positive identity through verifiable signatures and confidentiality of information. LAWtrust’s solutions are mapped against these business needs so that it can deliver real business value. LAWtrust has a clear vision for trusted identities and securing transaction through its well established Certificate Authority and security integration capacity and capabilities. Focused on meeting globally recognised industry standards to deliver and support its solutions, LAWtrust has in-depth experience and have achieved the following:
• First Certificate Authority to be accredited for Advanced Electronic Signatures by the Department of Communications under the ECT Act of 2002. This is the South African equivalent of a EU Qualified Signature.
• Certificate Authority included in both the Adobe and the Microsoft Approved Trust Lists as a Trusted Certificate Authority
• WebTrust certification and ISO21188 compliant PKI for financial services
• Provider of the South African National ID PKI, encryption and biometric fraud management systems
The key LAWtrust differentiator in this specialist market is its rapid integration middleware called the Trust Service Orchestrator (TSO). This allows organisations to deploy a hybrid model of on-premise and Trust Centre hosted functions which is all accessed through an on-premise service catalog. The TSO handles all the security functions back to the Trust Centre and applies the correct business logic where necessary. An example of this service in action is the LAWtrust Biometric Matching Service which is deployed in banking and government customers. The Biometric Matching service is access through the TSO by any channel (branch, internet etc) and can centrally match the multi modal biometrics through a variety of best of breed vendor algorithms for fingerprint, face, iris and voice matching. The result of the authentication can then be used to unlock a digital certificate/private key hosted on a secure signing service and apply a long term, time stamped digital signature to a document or transaction. Lawtrust also provides a biometric digital signature and evidence system known as eDNA (electronic DNA). This system is the most widely deployed government fraud management system and and ensures that employees are accountable for high risk transactions through a mechanism of biometrically unlocked digital signature after which the system retains all evidence in a time stamped and encrypted vault.
Apart from these major systems, LAWtrust provides the following products and services:
• SSL certificates
• PKI (on premise or cloud)
• Multi factor Strong Authentication
• Encryption libraries
• PKI applets
• Mobile biometrics solutions
• Consulting and training
LAWtrust view the involment in the FutureTrust project as beneficial to the African region in keeping abreast with and evolving further, developments in eID, payments and digital signatures within the EU.",,,,,,https://www.lawtrust.co.za,
GSMA,Organization / Trade Association,,,,,,,,,
United Nations,Supra-National Government,,,,,,,,,
